uniprot ID;15min
P16150;0.03
P42166;0.12
P42166;0.12
Q09666;0.13
P42166;0.19
P42166;0.19
Q9y5k6;0.22
Q16594;0.22
Q16594;0.22
Q96tc7;0.22
Q96by6;0.25
Q96by6;0.25
Q86yv0;0.26
Q86yv0;0.26
P42684;0.27
Q9bvj6;0.29
O94888;0.30
O95671;0.31
P34910;0.31
Q8wxi2;0.32
Q9uhb6;0.32
O95297;0.32
Q09666;0.32
P11274;0.32
Q13614;0.32
A2ru30;0.32
P13798;0.32
P51532;0.33
P51532;0.33
Q13263;0.33
Q92785;0.34
O60610;0.34
Q92609;0.35
Q68dg1;0.35
P55196;0.36
Q08ad1;0.36
Q9nv56;0.36
Q9uhb6;0.37
Q69yr6;0.38
Q04727;0.39
P14921;0.40
Q9une7;0.41
Q96f63;0.41
P06239;0.41
Q14160;0.41
Q15418;0.42
Q9p2f8;0.43
Q9brj6;0.44
Q8n498;0.44
Q9une7;0.45
Q5jpv5;0.46
Q6p597;0.47
Q9c0k0;0.47
Q9y608;0.48
O75153;0.48
Q9c0k0;0.48
Q6DHY0;0.48
Q08170;0.49
Q8iv04;0.49
O60343;0.50
Q13177;0.51
P29590;0.51
P29590;0.51
Q8wxv6;0.51
O94915;0.52
P31321;0.53
P31321;0.53
Q3kqu3;0.54
Q3kqu3;0.54
Q96al1;0.54
P48634;0.56
P48634;0.56
P51531;0.56
P51531;0.56
P51531;0.56
Q14789;0.57
Q9y3p8;0.58
O75717;0.59
Q5jtv8;0.59
Q5jtv8;0.59
P24723;0.60
P05387;0.64
P07814;0.64
Q14161;0.65
Q99856;0.68
Q99856;0.68
Q99856;0.68
Q5vt52;0.69
Q9ujv9;0.69
Q9upn3;0.69
Q9ukv3;0.75
O00567;0.76
O00567;0.76
Q8wux9;0.77
P11388;0.78
P46013;0.78
P42166;0.78
P53621;0.78
O43426;0.80
O43426;0.80
Q8ne71;0.80
Q8ne71;0.80
Q13428;0.82
Q15527;0.82
Q15527;0.82
O75995;0.82
P10644;0.82
O94804;0.83
O94804;0.83
Q68cv7;0.86
Q99081;0.91
P27816;0.91
P27824;0.93
P27824;0.93
Q96rt1;0.98
Q96rt1;0.98
Q504r8;0.98
Q9h3z4;0.98
P18583;1.00
Q9h3n1;1.07
Q7z6i6;1.18
O75151;1.21
Q8wxh0;1.21
Q13748;1.26
P17542;1.32
Q15052;1.35
Q5uip0;1.35
Q92597;1.35
Q9bqe3;1.39
Q6pjg2;1.42
Q6pjg2;1.42
Q9y478;1.43
P35251;1.47
P16989;1.48
Q92609;1.49
Q6VN20;1.59
Q9nqs7;1.59
Q9y4b5;1.59
Q9ubw7;1.62
Q6ibs0;1.62
O75448;1.63
Q9gzr7;1.64
P61978;1.70
Q9nwq8;1.71
Q14157;1.73
P37802;1.76
Q9uk76;1.76
O14639;1.78
O96020;1.78
P46013;1.78
P19174;1.78
P78559;1.80
P78559;1.80
Q8n122;1.80
Q9ukv3;1.81
Q9ukv3;1.81
Q9nwq8;1.82
Q9gzr7;1.85
P18433;1.87
Q12888;1.87
Q5jtd0;1.87
Q71um5;1.87
Q86yv0;1.87
Q86yv0;1.87
Q8wu79;1.87
Q9c0c2;1.87
P08708;1.90
Q15643;1.90
Q15643;1.90
Q8iy67;1.90
Q9y2i7;1.90
Q9y2x7;1.91
O95562;1.92
P21333;1.92
Q96b97;1.92
O14686;1.94
O15530;1.94
O94888;1.94
P78559;1.94
Q13247;1.94
Q13620;1.94
Q15036;1.94
Q2khr2;1.94
Q53et0;1.94
Q96n67;1.94
Q96t60;1.94
Q96t60;1.94
Q99590;1.94
Q99590;1.94
Q9h4l7;1.94
Q9h4l7;1.94
Q9p2f8;1.94
Q9y5t5;1.94
Q13576;1.96
Q15762;1.96
Q6p189;1.96
Q8wxg6;1.96
O14757;1.98
Q14847;1.98
Q15018;1.98
Q2khr2;1.98
Q6dca0;1.98
Q6y7w6;1.98
Q96ru3;1.98
Q96ta1;1.98
Q96ta1;1.98
Q9ulv3;1.98
Q9ulv3;1.98
P06239;1.98
P20963;1.98
O14497;2.00
P06400;2.00
Q8wua7;2.00
Q9h165;2.00
P16885;2.02
O00409;2.02
O14686;2.02
O14686;2.02
P07910;2.02
Q01664;2.02
Q6p189;2.02
Q96ff9;2.02
Q96ff9;2.02
Q9bvi0;2.02
Q9npi6;2.02
Q9npi6;2.02
Q9nzj0;2.02
Q9nzj0;2.02
Q9ugv2;2.02
Q96ta1;2.03
Q96ta1;2.03
O00146;2.04
P18583;2.04
P18583;2.04
P46013;2.04
P46013;2.04
Q9ulu4;2.04
Q9ulu4;2.04
O96007;2.06
P13861;2.06
P13861;2.06
P17252;2.06
P19634;2.06
Q13177;2.06
Q13263;2.06
Q13748;2.06
Q14152;2.06
Q5vvh4;2.06
Q9c0k0;2.06
Q9upn7;2.06
P16284;2.07
P34947;2.09
Q9uka4;2.09
O75385;2.11
O75592;2.11
Q53ez3;2.11
Q99618;2.11
Q99618;2.11
Q9h0h5;2.11
Q16666;2.11
Q6p0n0;2.11
Q96rk0;2.11
Q96rk0;2.11
P04234;2.12
P78559;2.13
Q9c0c9;2.13
Q9c0c9;2.13
Q86v88;2.13
Q86wb0;2.13
Q86wb0;2.13
P06493;2.14
O95183;2.16
P13612;2.16
P49736;2.16
P52292;2.16
Q14676;2.16
Q14676;2.16
Q14847;2.16
Q6iq23;2.16
Q6iq23;2.16
Q7z5r6;2.16
Q8tcj2;2.16
Q9bpx3;2.16
Q9brd0;2.16
Q9h6m4;2.16
Q9uq26;2.16
Q9uq26;2.16
Q9uq26;2.16
P07910;2.16
Q9h1a4;2.16
Q06124;2.18
Q12888;2.18
Q92918;2.18
O60884;2.20
P50548;2.20
Q86vq1;2.20
Q86wb0;2.20
Q86wb0;2.20
Q8ix90;2.20
Q8n5y2;2.20
Q8n5y2;2.20
Q9bzl6;2.20
Q9h165;2.20
O43524;2.23
O43524;2.23
P19419;2.23
P19419;2.23
Q9bvs4;2.23
Q9h307;2.23
O15320;2.26
O75676;2.26
O75676;2.26
P13051;2.26
P13051;2.26
P19105;2.26
Q53el6;2.26
Q8ix99;2.26
Q8tev9;2.26
Q92918;2.26
Q9ukv3;2.26
Q9upr0;2.26
Q9y2w1;2.26
Q9y6i3;2.26
P09693;2.26
P20963;2.27
O60673;2.28
O60673;2.28
P55196;2.31
Q8iwz8;2.31
Q9ukv0;2.31
P35658;2.32
P35658;2.32
P18615;2.34
P45973;2.34
Q7z417;2.34
Q9uju6;2.34
P41212;2.37
P41212;2.37
P41212;2.37
Q92974;2.37
Q9nxe8;2.37
O43149;2.37
O43149;2.37
P20963;2.38
P54105;2.40
Q9y6g9;2.41
O60271;2.43
O60271;2.43
Q13263;2.43
Q8iy81;2.43
Q14675;2.43
Q14675;2.43
Q9ugu0;2.46
Q9ugu0;2.46
Q8iv50;2.47
O60784;2.49
O60784;2.49
P19338;2.49
P19338;2.49
P19338;2.49
P46013;2.49
Q14160;2.49
Q8tev9;2.49
Q9byb0;2.49
Q9byb0;2.49
P05412;2.52
P06493;2.52
P78559;2.55
Q14247;2.55
Q9h063;2.55
Q9uq35;2.55
Q9y580;2.55
P32519;2.57
P78559;2.59
P78559;2.59
Q6fia0;2.59
Q9ulw0;2.59
Q01196;2.60
P20963;2.61
P78347;2.62
Q13263;2.62
Q8wxe0;2.62
Q04637;2.66
Q92608;2.66
Q99704;2.67
P06748;2.69
P54727;2.69
Q5jsh3;2.69
Q9h3x1;2.69
Q9y490;2.69
P29353;2.72
P16150;2.77
P78362;2.77
Q03252;2.77
Q03252;2.77
Q14186;2.77
Q9ukv3;2.77
P06241;2.78
P32942;2.81
Q13496;2.81
Q13496;2.81
Q32ly9;2.81
P30622;2.85
Q15758;2.85
P11717;2.85
Q13330;2.85
P46060;2.90
P46060;2.90
Q6y7w6;2.94
P51957;3.03
P57740;3.03
Q01581;3.03
Q14966;3.03
Q9ugr2;3.03
Q9ugr2;3.03
Q07352;3.08
Q9nry4;3.08
Q6pkg0;3.13
Q96rk0;3.13
Q9nti5;3.13
Q9ubc2;3.13
Q9ubc2;3.13
Q9ulu4;3.13
Q9nwq8;3.16
Q13153;3.18
Q13153;3.18
P07910;3.18
Q5vt52;3.18
O14974;3.23
P17544;3.23
Q14160;3.23
Q14241;3.23
Q92917;3.23
Q9h5v1;3.23
Q9h5v1;3.23
Q9y4e8;3.23
Q9y4e8;3.23
Q6p3s6;3.29
Q6p3s6;3.29
Q7z434;3.29
Q92597;3.29
Q92769;3.29
P27708;3.29
P20963;3.29
Q8iww6;3.32
P43243;3.34
Q7l3e0;3.34
Q92576;3.34
Q9ugv2;3.34
Q9ugv2;3.34
P04234;3.39
P06239;3.40
Q04759;3.40
Q16204;3.40
O15117;3.41
P16401;3.46
Q8wxi9;3.46
Q8wxi9;3.46
Q8wxi9;3.46
Q99081;3.46
Q9h165;3.46
Q9h165;3.46
Q9y4e1;3.46
O95218;3.53
P06400;3.53
P06400;3.53
P11717;3.53
O75995;3.55
P20963;3.57
P42768;3.59
O15027;3.59
O75081;3.59
Q00613;3.59
Q15166;3.59
Q15166;3.59
Q5vwq8;3.59
Q9haw4;3.59
Q9um11;3.59
Q96al1;3.66
Q16594;3.73
Q16594;3.73
Q9c0k0;3.73
Q9ugp4;3.73
O14646;3.80
Q9nwq8;3.86
Q8iws0;3.88
Q8iws0;3.88
Q8iws0;3.88
P07766;3.99
Q08881;3.99
P06400;4.04
P06400;4.04
P49790;4.04
P49790;4.04
P51532;4.04
Q6iq23;4.04
Q92974;4.04
Q9ui08;4.04
O75995;4.13
P68363;4.13
Q15154;4.13
Q8wwi1;4.13
Q8wwi1;4.13
P07766;4.16
P43403;4.22
P49006;4.22
Q96nb3;4.22
P52948;4.31
P52948;4.31
O95544;4.41
P11717;4.41
Q5jsz5;4.41
Q86wb0;4.41
Q9bvj6;4.41
Q9uhi6;4.41
Q9y6g9;4.41
Q9y6g9;4.41
O75995;4.62
O75995;4.62
Q53hl2;4.62
O75122;4.62
Q96p48;4.62
Q96p48;4.62
Q9y3p8;4.66
P49790;4.82
P35580;4.85
P78559;4.85
Q5sw79;4.85
Q5sw79;4.85
P49790;4.97
Q86wk8;4.97
P55196;5.11
Q00537;5.11
Q9y2d5;5.11
P55265;5.24
P24534;5.39
Q9y4k1;5.39
Q1ksf8;6.06
Q9nul3;6.06
Q9y618;6.06
Q6jby9;6.26
Q6jby9;6.26
P16949;6.47
P28482;6.69
P08575;6.93
P31942;7.46
O14757;7.76
O75995;7.76
O75995;7.76
Q9nzm3;8.05
P16333;8.08
P60174;8.08
Q8n8a6;8.08
Q8nc51;8.08
Q8tbm5;8.82
Q9ukx7;9.24
P06400;9.70
Q8ncf5;10.78
P27361;12.13
P27361;12.13
Q12872;12.13
P13796;13.86
P28482;16.93
P16949;27.71