Protein Group Accessions;Heavy/Light
Q5XKK7;1.465
P62081;1.465
Q13557;1.465
Q9Y4G8;1.463
Q9Y4G8;1.463
Q8TAP6;1.460
Q9UJU6;1.459
Q9UJU6;1.459
Q9UJU6;1.459
Q14738;1.459
P62244;1.457
P62244;1.457
Q9Y520;1.454
Q9Y4G8;1.453
Q8WWI1;1.451
Q14722|Q13303;1.449
Q14722|Q13303;1.449
Q14722|Q13303;1.449
Q00325;1.449
Q00325;1.449
O75962;1.447
O75962;1.447
O75962;1.447
Q6AHZ1;1.446
P36542;1.446
Q7Z2W4;1.445
P49773;1.445
P31146;1.445
P53671;1.443
Q16875;1.442
P13612;1.438
P13612;1.438
O75962;1.438
O75962;1.438
O75962;1.438
Q14738;1.437
Q14738;1.437
O14924;1.435
O14924;1.435
Q9Y2K5;1.434
P61088;1.433
P13612;1.433
P13612;1.433
P13612;1.433
Q9UJU6;1.432
Q9UJU6;1.432
Q9UJU6;1.432
Q9UJU6;1.432
Q9UJU6;1.431
Q9UJU6;1.431
Q9UJU6;1.431
Q9UJU6;1.431
Q9Y520;1.430
Q9Y520;1.430
Q9Y520;1.430
Q9P2M7;1.430
Q9P2M7;1.430
Q9P2M7;1.430
Q58FF7|P08238;1.429
Q6AHZ1;1.425
P62244;1.424
P62244;1.424
P20290|Q96K17;1.424
P20290|Q96K17;1.424
Q9BT25;1.422
Q9BT25;1.422
P25054;1.421
P25054;1.421
O75962;1.419
O75962;1.419
O95294;1.417
O14924;1.416
O14924;1.416
P16150;1.413
Q32P51|P09651|P51991;1.413
Q32P51|P09651|P51991;1.413
Q32P51|P09651|P51991;1.413
P20671|Q96KK5|Q99878|P0C0S8;1.412
P20671|Q96KK5|Q99878|P0C0S8;1.412
O14974;1.406
O14974;1.406
P13612;1.406
P13612;1.406
P13612;1.406
Q8TB68;1.406
Q08211;1.405
Q14865;1.402
Q14865;1.402
P62269;1.402
P62195;1.402
P62195;1.402
Q9Y333;1.399
Q9Y333;1.399
Q5XKK7;1.398
Q9UJU6;1.398
Q9UJU6;1.398
Q9UJU6;1.398
Q9UJU6;1.398
P67809|P16989|Q9Y2T7;1.398
P67809|P16989|Q9Y2T7;1.398
P67809|P16989|Q9Y2T7;1.398
Q9Y4G8;1.397
Q9Y2K5;1.396
P06733;1.394
P06733;1.394
P06733;1.394
Q99961;1.393
O43639;1.390
O43639;1.390
Q14865;1.390
P30101;1.389
Q32P51|P09651|P51991;1.388
P16150;1.386
Q9Y520;1.386
Q9Y520;1.386
P13010;1.385
O75962;1.380
O75962;1.380
Q15233;1.380
Q9Y520;1.379
P16885;1.379
Q9Y520;1.377
O00148;1.377
O75962;1.376
O75962;1.376
P33778|P06899|P23527|Q16778|Q6DN03|Q6DRA6;1.375
O75962;1.375
O75962;1.375
O75962;1.374
O75962;1.374
O75962;1.374
P47756;1.373
P47756;1.373
Q5SW79;1.369
Q5SW79;1.369
Q5SW79;1.369
Q9Y520;1.369
Q9Y520;1.369
Q9Y520;1.369
O95747;1.366
O95747;1.366
O95747;1.366
P16333;1.366
P16333;1.366
Q5SW79;1.366
Q5SW79;1.366
Q5SW79;1.366
P25705;1.364
P62805;1.363
P62805;1.363
P62805;1.362
P62805;1.362
P62805;1.362
O75995;1.360
O75995;1.360
O75995;1.360
P52565;1.357
P52565;1.357
P52565;1.357
Q9UJU6;1.356
Q9UJU6;1.356
Q9UJU6;1.356
Q9UJU6;1.356
Q9UJU6;1.356
Q9H2G2;1.355
Q9H2G2;1.355
P10599;1.355
Q6JBY9;1.353
Q6JBY9;1.353
Q8NAV1;1.349
P52566;1.346
P52566;1.346
Q86SE5;1.344
Q86SE5;1.344
Q32P51|P09651|P51991;1.339
Q32P51|P09651|P51991;1.339
Q32P51|P09651|P51991;1.339
P04406;1.338
Q99497;1.338
Q9BT25;1.335
Q9BT25;1.335
Q8WUY9;1.335
Q8WUY9;1.335
P00338;1.334
P00338;1.334
P05387;1.334
P05387;1.334
Q02543;1.333
P35241|P26038;1.330
Q9NYV4;1.330
Q9NYV4;1.330
Q7Z401;1.330
P10809;1.329
P10809;1.329
Q86X02;1.328
Q00839;1.327
Q00839;1.327
Q00839;1.327
Q58FF7|P08238;1.326
P53680;1.326
Q13557;1.324
Q9BT25;1.323
Q9BT25;1.323
Q08211;1.322
O75044;1.322
O75044;1.322
O95232;1.321
Q9Y4B4;1.320
P16949;1.320
P46776;1.316
Q9NYZ1;1.316
Q9NYZ1;1.316
P30050;1.314
P30050;1.314
P68104|Q5VTE0|Q05639;1.313
Q9Y520;1.312
P62269;1.312
O00231;1.311
O00231;1.311
O43295;1.311
Q9Y4B4;1.310
Q9H2G2;1.309
Q9H2G2;1.309
Q9NR30;1.308
Q9NR30;1.308
Q9NR30;1.308
Q8NI08;1.305
P50991;1.303
P23497;1.303
Q8WUY9;1.302
O75995;1.302
O75995;1.302
P07237;1.302
P07237;1.302
P07237;1.302
P62273;1.301
Q9Y4B4;1.300
Q9NYU2;1.299
P06733;1.297
P06733;1.297
P06733;1.297
Q15032;1.296
Q15032;1.296
P48735;1.294
Q5SW79;1.293
Q5SW79;1.293
P25054;1.291
P25054;1.291
Q13362;1.291
Q13362;1.291
A0AVK6;1.290
Q969H8;1.284
Q969H8;1.284
Q969H8;1.284
Q9Y520;1.284
P50991;1.282
P50991;1.282
Q6ZUT9;1.280
P04406;1.279
Q9UID6;1.279
Q9UID6;1.279
Q9UID6;1.279
Q9UID6;1.279
Q9UID6;1.279
Q15032;1.276
Q15032;1.276
Q9NYZ1;1.272
Q9BPZ7;1.271
Q9BPZ7;1.271
Q9BPZ7;1.271
P53671;1.271
Q71U36|Q9BQE3|Q13748|Q6PEY2|Q9NY65;1.271
Q71U36|Q9BQE3|Q13748|Q6PEY2|Q9NY65;1.271
Q9HDC5;1.269
Q9HDC5;1.269
P06576;1.268
P62861;1.268
P62861;1.268
Q02543;1.266
Q02543;1.266
Q02543;1.266
O95232;1.266
Q96A26;1.266
P07910;1.264
P07910;1.264
P18846;1.261
O14924;1.259
Q13422;1.259
O95747;1.257
O95747;1.257
P62888;1.255
P07195;1.255
P07195;1.255
P07195;1.255
P22087;1.251
P22087;1.251
P22087;1.251
Q5JTD0;1.250
Q5JTD0;1.250
Q6JBY9;1.250
P46778;1.249
P46778;1.249
Q99590;1.247
P09429;1.246
P09429;1.246
P09429;1.246
P11310;1.243
P06730;1.242
P06730;1.242
P06730;1.242
P49773;1.242
O95232;1.241
O95232;1.241
P20671|Q96KK5|Q99878|P0C0S8|Q6FI13|Q16777|Q9BTM1;1.240
P20671|Q96KK5|Q99878|P0C0S8|Q6FI13|Q16777|Q9BTM1;1.240
P20671|Q96KK5|Q99878|P0C0S8|Q6FI13|Q16777|Q9BTM1;1.240
P35611|P35612|Q9UEY8;1.240
Q9Y285;1.240
Q9P2M7;1.237
Q9P2M7;1.237
Q9P2M7;1.237
P06730;1.237
Q9NYZ3;1.236
Q9NYZ3;1.236
Q9NYZ3;1.236
P23497;1.236
P07910;1.235
O75044;1.235
P10809;1.233
P10809;1.233
P10809;1.233
O75044;1.232
P05387;1.232
P39023;1.231
P04075;1.231
P04075;1.231
Q53QZ3;1.229
Q53QZ3;1.229
Q71U36|Q9BQE3|Q13748|Q6PEY2|Q9NY65;1.226
Q9Y6A5;1.225
Q9Y6A5;1.225
P47974;1.224
Q15185;1.223
Q96A26;1.222
Q96A26;1.222
Q96A26;1.222
P16333;1.222
P16333;1.222
P16333;1.222
Q9Y520;1.219
P62244;1.218
P62244;1.218
P62244;1.218
P55201;1.216
P30086;1.216
P38646;1.214
P23497;1.214
P23497;1.214
O75044;1.213
Q9HDC5;1.212
Q9HDC5;1.212
Q9HDC5;1.212
Q14498;1.211
P11142;1.211
Q14566;1.210
Q96T37;1.209
Q96T37;1.209
Q96T37;1.209
Q13112;1.207
O75145;1.206
Q92598;1.206
P53004;1.205
P62805;1.204
P62805;1.204
P23246;1.204
Q14738;1.204
Q14738;1.204
Q14738;1.204
P16150;1.203
P10412|P16403|P16402;1.201
Q96T37;1.200
Q96T37;1.200
Q96T37;1.200
P05387;1.200
Q8NG31;1.200
Q8NG31;1.200
Q8NG31;1.200
O14979;1.197
O14979;1.197
O14979;1.197
Q9NQS7;1.197
A0AVK6;1.195
Q9HDC5;1.195
Q9HDC5;1.195
Q9HDC5;1.195
P09429;1.195
P09429;1.195
P09429;1.195
Q96T37;1.193
Q96T37;1.193
P62269;1.193
A0AVK6;1.193
P83731;1.192
P83731;1.192
O15145;1.190
P30050;1.190
Q9BQ48;1.189
Q16695|P68431|Q71DI3|P84243|Q6NXT2;1.189
Q16695|P68431|Q71DI3|P84243|Q6NXT2;1.189
Q16695|P68431|Q71DI3|P84243|Q6NXT2;1.189
Q16695|P68431|Q71DI3|P84243|Q6NXT2;1.189
Q16695|P68431|Q71DI3|P84243|Q6NXT2;1.189
Q53QZ3;1.186
Q53QZ3;1.186
Q53QZ3;1.186
P00558|P07205;1.185
P00558|P07205;1.185
P00558|P07205;1.185
O14979;1.183
P55060;1.183
Q53QZ3;1.182
P08238|Q58FF8|Q58FF7;1.181
Q58FF8|Q58FF7|P08238;1.181
P68104|Q5VTE0;1.181
O75044;1.179
Q15032;1.179
Q15032;1.179
P26583;1.179
P09543;1.179
P09543;1.179
P09543;1.179
P09543;1.179
O75534;1.178
Q9ULT8;1.177
Q9ULT8;1.177
P16333;1.177
Q9ULT8;1.176
Q9ULT8;1.176
Q9ULT8;1.176
Q7Z401;1.175
Q7Z401;1.175
Q7Z401;1.175
P07737;1.175
P07737;1.175
P07737;1.175
P16150;1.175
P16150;1.175
P16150;1.175
P26583;1.174
P26583;1.174
P26583;1.174
Q9ULT8;1.174
Q9ULT8;1.174
Q9ULT8;1.174
Q8NG31;1.169
Q8NG31;1.169
P36542;1.169
Q53QZ3;1.169
Q53QZ3;1.169
Q53QZ3;1.169
Q53QZ3;1.169
Q7Z5K2;1.168
P47755|P52907;1.168
P47755|P52907;1.168
P47755|P52907;1.168
Q9Y520;1.168
Q9Y520;1.168
P62906;1.167
P62906;1.167
P62906;1.167
P16949;1.167
P16150;1.166
Q9BPZ7;1.165
Q9BPZ7;1.165
Q14738;1.165
P49207;1.164
Q16695|P68431|Q71DI3|P84243|Q6NXT2;1.164
Q16695|P68431|Q71DI3|P84243|Q6NXT2;1.164
Q16695|P68431|Q71DI3|P84243|Q6NXT2;1.164
Q16695|P68431|Q71DI3|P84243|Q6NXT2;1.164
Q8NG31;1.163
Q8NG31;1.163
Q8NG31;1.163
P11142;1.163
P11142;1.163
P11142;1.163
Q9BPZ7;1.162
Q99729;1.162
Q99729;1.162
Q99729;1.162
P60174;1.161
P60174;1.161
P07900|Q58FG1;1.161
P09543;1.160
P09543;1.160
P09543;1.160
P09543;1.160
P35611|P35612|Q9UEY8;1.160
P35611|P35612|Q9UEY8;1.160
O43295;1.160
P26038;1.160
P26038;1.160
P62937;1.160
P62937;1.160
P07737;1.159
P07737;1.159
P07737;1.159
P62753;1.158
P38159|Q96E39|O75526|Q8N7X1;1.158
P38159|Q96E39|O75526|Q8N7X1;1.158
P38159|Q96E39|O75526|Q8N7X1;1.158
P30153;1.158
Q14103;1.158
Q14103;1.158
Q14103;1.158
Q01804;1.156
P62318;1.156
P62318;1.156
P62318;1.156
P84090;1.156
P84090;1.156
P53367;1.153
P53367;1.153
Q6FI13|Q16777|Q9BTM1;1.153
Q16695|P68431|Q71DI3|P84243|Q6NXT2;1.153
Q16695|P68431|Q71DI3|P84243|Q6NXT2;1.153
Q16695|P68431|Q71DI3|P84243|Q6NXT2;1.153
P46781;1.152
P26599;1.152
Q53QZ3;1.151
Q53QZ3;1.151
Q53QZ3;1.151
Q53QZ3;1.151
P10809;1.151
P10809;1.151
Q96T37;1.151
Q96T37;1.151
Q9Y4L1;1.150
Q9Y4L1;1.150
P84090;1.149
P84090;1.149
P84090;1.149
Q53QZ3;1.149
Q53QZ3;1.149
Q53QZ3;1.149
Q53QZ3;1.149
P40227;1.148
P09429;1.146
Q99729;1.146
Q99729;1.146
Q99729;1.146
Q99729;1.146
O95983;1.146
P60174;1.146
Q9HDC5;1.145
Q9HDC5;1.145
Q16576|Q09028;1.145
Q16576|Q09028;1.145
Q16576|Q09028;1.145
Q99729;1.144
Q99729;1.144
P35579;1.144
P35579;1.144
P40227|Q92526;1.144
P53367;1.144
Q9P2M7;1.144
P63220;1.143
O00148|Q13838;1.143
O00148|Q13838;1.143
Q13838;1.143
Q7Z401;1.142
Q7Z401;1.142
P39023;1.142
P39023;1.142
P17812;1.141
P17812;1.141
P35611|P35612|Q9UEY8;1.139
Q14103;1.139
Q14103;1.139
Q14103;1.139
P62937;1.138
P62937;1.138
P62937;1.138
P83731;1.138
P83731;1.138
P16150;1.138
P16150;1.138
P16150;1.138
Q13885|Q9BVA1|Q13509|P04350|P68371|P07437;1.137
Q13885|Q9BVA1|Q13509|P04350|P68371|P07437;1.137
P20700;1.136
P22392|O60361;1.136
P50502|Q8IZP2|Q8NFI4;1.136
P50502|Q8IZP2|Q8NFI4;1.136
P50502|Q8IZP2|Q8NFI4;1.136
P29401;1.136
Q16695|P68431|Q71DI3|P84243|Q6NXT2;1.136
Q16695|P68431|Q71DI3|P84243|Q6NXT2;1.136
P31948;1.135
P31948;1.135
P04406;1.134
P04406;1.134
Q9Y520;1.133
P00338;1.133
P07737;1.133
Q08211;1.133
Q08211;1.133
P07237;1.133
P07237;1.133
P07237;1.133
P18077;1.132
P18077;1.132
Q9HAW4;1.130
A0AVK6;1.130
O95232;1.129
O95232;1.129
P00338;1.129
P00338;1.129
P00338;1.129
Q13136;1.129
Q13136;1.129
Q13136;1.129
Q13136;1.129
Q14738;1.128
P11310;1.128
Q9BRA2;1.127
Q9BRA2;1.127
O95232;1.126
O95232;1.126
P62753;1.126
P62753;1.126
P29401;1.125
P07195;1.125
P07195;1.125
P18077;1.124
P18077;1.124
P18077;1.124
P83731;1.124
P83731;1.124
P47756;1.124
P47756;1.124
P47756;1.124
P18621;1.124
P18621;1.124
P18621;1.124
Q14738;1.123
Q14738;1.123
Q14738;1.123
P04075;1.123
P04075;1.123
P68104|Q5VTE0;1.123
Q14498;1.123
P61586|P62745|P08134;1.122
P61586|P62745|P08134;1.122
P61586|P62745|P08134;1.122
P61586|P62745|P08134;1.122
P48735;1.121
Q00839;1.120
P10809;1.118
P10809;1.118
P16333;1.118
P16333;1.118
P35611|P35612|Q9UEY8;1.117
P35611|P35612|Q9UEY8;1.117
P35611|P35612|Q9UEY8;1.117
P35611|P35612|Q9UEY8;1.117
Q13885|Q9BVA1|Q13509|P04350|P68371|P07437;1.117
P04406;1.116
P04406;1.116
O15145;1.116
O15145;1.116
Q9BRA2;1.116
Q9Y4B4;1.115
Q14103;1.114
Q14103;1.114
Q14103;1.114
P04406;1.114
P04406;1.114
P04406;1.114
Q14103;1.113
Q14103;1.113
Q14103;1.113
Q9UNN5;1.113
P10809;1.112
P10809;1.112
P07737;1.111
P07737;1.111
P07737;1.111
P49368;1.111
Q8NHU6;1.110
P62273;1.110
Q13136;1.110
Q13136;1.110
Q13136;1.110
Q13136;1.110
Q15717;1.107
Q15717;1.107
P22314;1.107
Q96EP5;1.107
P08238|Q58FF8|Q58FF7;1.106
P31943|P55795;1.106
Q9NYZ3;1.105
Q9NYZ3;1.105
Q9NYZ3;1.105
Q32P51|P09651|P51991;1.104
Q32P51|P09651|P51991;1.104
Q32P51|P09651|P51991;1.104
O75044;1.104
P26583;1.104
P26583;1.104
Q14566;1.103
Q14566;1.103
Q14566;1.103
P14618;1.102
P14618;1.102
P14618;1.102
Q13769;1.102
Q13769;1.102
P31943|P55795;1.102
P31943|P55795;1.102
P68104|Q5VTE0;1.102
P62851;1.102
P62851;1.102
P62851;1.102
P16949;1.101
P16949;1.101
Q14865;1.101
Q14865;1.101
P52272;1.101
Q13136;1.101
Q99729;1.101
Q99729;1.101
Q99729;1.101
P36578;1.101
P04406;1.100
P04406;1.100
Q14738;1.100
Q14738;1.100
P13796|P13797;1.100
P13796|P13797;1.100
P10809;1.099
P10809;1.099
P10809;1.099
P16150;1.099
P16150;1.099
P16150;1.099
P16150;1.099
P63220;1.098
P52272;1.098
Q9UPQ3;1.097
P16150;1.097
P16150;1.097
P16150;1.097
Q32P51|P09651|P51991;1.096
Q32P51|P09651|P51991;1.096
Q32P51|P09651|P51991;1.096
P46776;1.096
Q15233;1.096
P16333;1.095
P16333;1.095
Q9UKD2;1.095
Q9UKD2;1.095
P61586|P62745|P08134;1.095
P61353;1.095
P61353;1.095
P61353;1.095
Q9BRA2;1.095
Q9BRA2;1.095
P00441;1.094
Q9NZJ0;1.093
Q9NZJ0;1.093
Q92688;1.093
P47755|P52907;1.093
P47755|P52907;1.093
P47755|P52907;1.093
P50991;1.093
Q14103;1.092
Q14103;1.092
Q14103;1.092
P09429;1.091
Q53QZ3;1.090
Q53QZ3;1.090
Q53QZ3;1.090
Q53QZ3;1.090
Q53QZ3;1.090
Q16695|P68431|Q71DI3|P84243|Q6NXT2;1.090
Q16695|P68431|Q71DI3|P84243|Q6NXT2;1.090
Q16695|P68431|Q71DI3|P84243|Q6NXT2;1.090
O00148|Q13838;1.090
P09543;1.090
P09543;1.090
P09543;1.090
P62269;1.089
P30101;1.087
P53367;1.087
P53367;1.087
P53367;1.087
P0CW22;1.087
P0CW22;1.087
P0CW22;1.087
P62861;1.087
P62861;1.087
P18077;1.086
P18077;1.086
P18077;1.086
P53634;1.086
O95983;1.085
P04406;1.085
P04406;1.085
P04406;1.085
Q58FF7|P08238;1.085
Q58FF7|P08238;1.085
P62273;1.085
Q13136;1.084
Q13136;1.084
P09543;1.083
P09543;1.083
P09543;1.083
P09543;1.083
P09543;1.083
P04406;1.082
P04406;1.082
P14618;1.082
P14618;1.082
P14618;1.082
O00267;1.081
P00558|P07205;1.081
P00558|P07205;1.081
P00558|P07205;1.081
Q8WUY9;1.080
Q8WUY9;1.080
Q8NHW5|P05388;1.079
Q8NHW5|P05388;1.079
Q8NHW5|P05388;1.079
P09211;1.079
P09211;1.079
Q53QZ3;1.079
Q53QZ3;1.079
Q53QZ3;1.079
Q9Y6A5;1.078
Q9Y6A5;1.078
Q9NYU2;1.077
P38919;1.077
O95983;1.077
Q13136;1.076
P78417;1.076
Q9BPZ7;1.076
Q9BPZ7;1.076
Q9BPZ7;1.076
Q9BPZ7;1.076
Q9BPZ7;1.076
Q99729;1.076
Q99729;1.076
Q99729;1.076
Q14738;1.076
Q14738;1.076
Q14738;1.076
P09543;1.075
P09543;1.075
P09543;1.075
O75995;1.075
P10809;1.075
P10809;1.075
P16333;1.075
P16333;1.075
P16333;1.075
P16333;1.075
P16333;1.075
P20671|Q96KK5|Q99878|P0C0S8|Q6FI13|Q16777|Q9BTM1;1.074
P20671|Q96KK5|Q99878|P0C0S8|Q6FI13|Q16777|Q9BTM1;1.074
P20671|Q96KK5|Q99878|P0C0S8|Q6FI13|Q16777|Q9BTM1;1.074
P14618|P30613;1.073
P14618|P30613;1.073
Q9NQS7;1.073
P04406;1.073
P04406;1.073
P04406;1.073
P04406;1.073
Q00839;1.073
P62937;1.073
Q13362;1.073
P13796|P13797;1.072
P13796|P13797;1.072
P13796|P13797;1.072
P07195;1.072
P07195;1.072
P62937;1.072
Q53QZ3;1.071
Q53QZ3;1.071
Q53QZ3;1.071
Q53QZ3;1.071
Q9Y4G6|Q9Y490;1.071
Q9Y4G6|Q9Y490;1.071
Q13885|Q9BVA1|Q13509|P04350|P68371|P07437;1.071
Q13885|Q9BVA1|Q13509|P04350|P68371|P07437;1.071
Q13885|Q9BVA1|Q13509|P04350|P68371|P07437;1.071
P10809;1.071
P10809;1.071
Q00839;1.069
Q00839;1.069
Q00839;1.069
Q9HD33;1.069
P84090;1.068
P84090;1.068
P84090;1.068
P11142;1.068
P11142;1.068
P11142;1.068
P32969;1.068
P32969;1.068
P32969;1.068
P52272;1.067
P52272;1.067
P52272;1.067
P62266;1.067
P06576;1.067
P06576;1.067
P06576;1.067
O75558;1.067
O75558;1.067
P62753;1.067
P50990;1.066
P50990;1.066
P50990;1.066
Q7Z3T8;1.066
Q7Z3T8;1.066
Q7Z3T8;1.066
Q15428;1.065
P00558|P07205;1.064
P00558|P07205;1.064
P62937;1.064
Q32P51|P09651|P51991;1.064
Q32P51|P09651|P51991;1.064
Q32P51|P09651|P51991;1.064
P09543;1.063
P09543;1.063
P09543;1.063
P62269;1.063
P62269;1.063
P05386;1.063
P05386;1.063
Q9NYZ3;1.063
P55072;1.062
P55072;1.062
P55072;1.062
Q9NQR1;1.062
P62263;1.062
P62263;1.062
P35611|P35612|Q9UEY8;1.062
P35611|P35612|Q9UEY8;1.062
P35611|P35612|Q9UEY8;1.062
Q7Z3T8;1.062
Q7Z3T8;1.062
Q7Z3T8;1.062
P35611|P35612|Q9UEY8;1.062
P35611|P35612|Q9UEY8;1.062
P35611|P35612|Q9UEY8;1.062
P35611|P35612|Q9UEY8;1.062
P35611|P35612|Q9UEY8;1.062
P35611|P35612|Q9UEY8;1.062
P35611|P35612|Q9UEY8;1.062
Q14103;1.061
Q14103;1.061
Q14103;1.061
P09211;1.060
P30050;1.060
P30050;1.060
P62701;1.059
P62993;1.059
P62993;1.059
P62993;1.059
P35611|P35612|Q9UEY8;1.059
P35611|P35612|Q9UEY8;1.059
P35611|P35612|Q9UEY8;1.059
P35611|P35612|Q9UEY8;1.059
P35611|P35612|Q9UEY8;1.059
P35611|P35612|Q9UEY8;1.059
P35611|P35612|Q9UEY8;1.059
P35611|P35612|Q9UEY8;1.059
P35611|P35612|Q9UEY8;1.059
P35611|P35612|Q9UEY8;1.059
P35611|P35612|Q9UEY8;1.059
P35611|P35612|Q9UEY8;1.059
P45880;1.058
P45880;1.058
Q9HDC5;1.058
Q9HDC5;1.058
Q9HDC5;1.058
Q9HDC5;1.058
Q9HDC5;1.058
P53367;1.058
P53367;1.058
P53367;1.058
P62318;1.057
P14625;1.057
P14625;1.057
P21796;1.057
P21796;1.057
P21796;1.057
P39023;1.057
P39023;1.057
P49207;1.057
P14618|P30613;1.057
P14618|P30613;1.057
P14618|P30613;1.057
P31948;1.056
P31948;1.056
P31948;1.056
P07195;1.056
P07195;1.056
Q07666|O75525|Q5VWX1;1.056
P36542;1.055
P36542;1.055
P16150;1.055
P16150;1.055
P16150;1.055
P16150;1.055
P60174;1.055
P60174;1.055
P60174;1.055
P36578;1.055
P16333;1.055
P16333;1.055
P26373;1.054
P26373;1.054
Q16695|P68431|Q71DI3|P84243|Q6NXT2;1.054
Q16695|P68431|Q71DI3|P84243|Q6NXT2;1.054
P62277;1.054
P62277;1.054
P16333;1.053
P16333;1.053
P16333;1.053
P16333;1.053
Q16695|P68431|Q71DI3|P84243|Q6NXT2;1.053
Q16695|P68431|Q71DI3|P84243|Q6NXT2;1.053
Q16695|P68431|Q71DI3|P84243|Q6NXT2;1.053
Q14498;1.053
Q14498;1.053
O43414;1.053
Q99590;1.052
P35611|P35612|Q9UEY8;1.052
P35611|P35612|Q9UEY8;1.052
O00148|Q13838;1.052
O00148|Q13838;1.052
Q9NZJ0;1.052
Q9NZJ0;1.052
P04406;1.051
P04406;1.051
P04406;1.051
P04406;1.051
P18621;1.051
P11142;1.051
P11142;1.051
P11142;1.051
P00338;1.050
P00338;1.050
P46779;1.050
P46779;1.050
P0CW22;1.049
P16333;1.049
P16333;1.049
