Protein Group Accessions;Heavy/Light
P16333;1.049
P16333;1.049
P16333;1.049
P09429;1.048
P20700;1.048
P20700;1.048
Q71U36|Q9BQE3|Q13748|Q6PEY2|Q9NY65;1.047
P04406;1.047
P04406;1.047
P04406;1.047
P04406;1.047
P62937;1.046
P62937;1.046
Q15021;1.046
Q16666;1.046
Q16666;1.046
Q13769;1.046
Q13769;1.046
P62277;1.044
P62277;1.044
P62277;1.044
Q13885|Q9BVA1|Q13509|P04350|P68371|P07437;1.044
Q13885|Q9BVA1|Q13509|P04350|P68371|P07437;1.044
P61927;1.044
P39023;1.044
P35579;1.043
P35579;1.043
P35579;1.043
P06748;1.043
P06748;1.043
P06748;1.043
P62266;1.043
P62266;1.043
P62266;1.043
O75558;1.042
O75558;1.042
Q13769;1.042
P20290|Q96K17;1.041
O95232;1.041
O95232;1.041
Q08211;1.040
Q08211;1.040
Q08211;1.040
Q5JTD0;1.040
Q16576|Q09028;1.040
Q16576|Q09028;1.040
Q16576|Q09028;1.040
O95232;1.040
Q92879|O95319;1.040
P22392|O60361;1.040
Q9HDC5;1.039
Q9HDC5;1.039
P11142;1.039
P11142;1.039
P22307;1.038
P22307;1.038
P62244;1.038
P62244;1.038
P62244;1.038
P35611|P35612|Q9UEY8;1.037
P35611|P35612|Q9UEY8;1.037
P35611|P35612|Q9UEY8;1.037
P35611|P35612|Q9UEY8;1.037
P35611|P35612|Q9UEY8;1.037
P35611|P35612|Q9UEY8;1.037
P35611|P35612|Q9UEY8;1.037
O00267;1.037
Q9ULT8;1.037
Q9ULT8;1.037
Q99729;1.037
Q99729;1.037
Q99729;1.037
O00267;1.036
Q6P4F7;1.035
Q9P2M7;1.035
P04406;1.035
P04406;1.035
P04406;1.035
P52566;1.035
P52566;1.035
P52566;1.035
P50502|Q8IZP2|Q8NFI4;1.034
Q00839;1.034
O00154;1.034
O00154;1.034
Q9H4A3;1.033
P05386;1.033
P05386;1.033
P35579;1.032
P35579;1.032
P35268;1.032
P62899;1.030
P0CW22;1.030
Q71UI9|P0C0S5;1.029
Q9Y333;1.029
Q15428;1.029
Q15428;1.029
Q7Z3T8;1.029
Q7Z3T8;1.029
Q7Z3T8;1.029
Q9NYZ3;1.028
P62805;1.027
P62805;1.027
P62805;1.027
P62805;1.027
P11142;1.027
P11142;1.027
P18669|P15259;1.027
P61247;1.026
P61247;1.026
P13796|P13797;1.026
P13796|P13797;1.026
P13796|P13797;1.026
P06748;1.026
P06748;1.026
P06748;1.026
P16150;1.026
P16150;1.026
P16150;1.026
Q13769;1.025
Q13769;1.025
P30086;1.025
P62807|P58876|Q93079|O60814|Q99880|Q99879|Q99877|Q5QNW6|P57053;1.024
P62807|P58876|Q93079|O60814|Q99880|Q99879|Q99877|Q5QNW6|P57053;1.024
Q16695|P68431|Q71DI3|P84243|Q6NXT2;1.024
Q16695|P68431|Q71DI3|P84243|Q6NXT2;1.024
Q16695|P68431|Q71DI3|P84243|Q6NXT2;1.024
P61247;1.024
P61247;1.024
P61247;1.024
Q9BPZ7;1.023
Q9BPZ7;1.023
Q9BPZ7;1.023
Q9BPZ7;1.023
P31948;1.023
P31948;1.023
P31948;1.023
P43243;1.023
Q16576|Q09028;1.022
Q16576|Q09028;1.022
Q16576|Q09028;1.022
P63241|Q9GZV4|Q6IS14;1.022
P63241|Q9GZV4|Q6IS14;1.022
P61586|P62745|P08134;1.022
P61586|P62745|P08134;1.022
P61586|P62745|P08134;1.022
P21796;1.022
P21796;1.022
P21796;1.022
P62805;1.020
P62805;1.020
P62805;1.020
P62805;1.020
Q96T37;1.018
P62244;1.018
P62244;1.018
P62244;1.018
P06733;1.018
Q06210;1.017
P49368;1.016
P24534;1.016
P24534;1.016
P24534;1.016
P50991;1.015
P50991;1.015
P50991;1.015
P62805;1.015
P62805;1.015
P62805;1.015
O15371;1.015
P60900;1.015
Q13769;1.014
P62861;1.014
Q9HAW4;1.014
Q9HAW4;1.014
Q13136;1.013
Q13136;1.013
P31948;1.013
P31948;1.013
P31948;1.013
Q9H4A3;1.013
Q9H4A3;1.013
P62807|P58876|Q93079|O60814|Q99880|Q99879|Q99877|Q5QNW6|P57053;1.013
Q13112;1.013
Q9H4A3;1.012
O15145;1.012
O15145;1.012
Q8WXE9;1.012
P06748;1.011
P06748;1.011
P06748;1.011
Q14566;1.011
Q14566;1.011
Q14566;1.011
Q14566;1.011
Q14566;1.011
P16401;1.011
P16401;1.011
P16401;1.011
P07237;1.010
P07237;1.010
Q8WXE9;1.010
P06733;1.009
P06733;1.009
P06733;1.009
P53367;1.009
Q14865;1.008
Q14865;1.008
P53396;1.008
P16333;1.008
P16333;1.008
P16401;1.008
P16401;1.008
P16401;1.008
Q9H2U2;1.008
Q14566;1.006
Q14566;1.006
P61247;1.006
P61247;1.006
P18077;1.006
P50395|P31150;1.006
Q9HB71;1.006
Q969T9;1.005
P14151;1.004
P14151;1.004
P14151;1.004
P62266;1.004
P62266;1.004
P62266;1.004
O14974;1.004
O14974;1.004
P06733;1.003
Q9BX40;1.003
P47755|P52907;1.003
P47755|P52907;1.003
P47755|P52907;1.003
P11142;1.002
P11142;1.002
P06733;1.001
P06733;1.001
P45880;1.001
P45880;1.001
P16333;1.001
P16333;1.001
Q5VZ89;1.000
P23246;0.999
P23246;0.999
P07900;0.997
P07900;0.997
P49368;0.997
Q9Y6A5;0.996
Q9Y6A5;0.996
Q9Y6A5;0.996
P22234;0.996
P22234;0.996
P22234;0.996
P06733;0.996
P06733;0.996
P15311;0.996
P15311;0.996
Q9H3P7;0.995
P12235|P12236|P05141;0.995
P12235|P12236|P05141;0.995
P51665;0.995
Q9Y6A5;0.994
Q9Y6A5;0.994
Q9Y6A5;0.994
P36578;0.993
Q13769;0.992
P20290|Q96K17;0.992
P20290|Q96K17;0.992
Q00839;0.992
Q00839;0.992
Q00839;0.992
P16333;0.992
P16333;0.992
P30086;0.991
Q08945;0.990
Q08945;0.990
Q08945;0.990
Q15428;0.990
P26583;0.990
P26583;0.990
P26583;0.990
P37108;0.990
P06748;0.989
P06748;0.989
P06748;0.989
Q969H8;0.988
Q969H8;0.988
P23246;0.988
P23246;0.988
P22314;0.988
Q9H4A3;0.988
P83731;0.987
O75995;0.987
O75995;0.987
P52566;0.987
P62807|P58876|Q93079|O60814|Q99880|Q99879|Q99877|Q5QNW6|P57053;0.987
P62807|P58876|Q93079|O60814|Q99880|Q99879|Q99877|Q5QNW6|P57053;0.987
P62807|P58876|Q93079|O60814|Q99880|Q99879|Q99877|Q5QNW6|P57053;0.987
Q16666;0.986
Q96A26;0.985
Q96A26;0.985
P04075|P09972|P05062;0.985
P26373;0.985
P26373;0.985
P26373;0.985
P21333|O75369;0.984
P21333|O75369;0.984
P10599;0.984
Q32P51|P09651|P51991;0.984
Q32P51|P09651|P51991;0.984
Q32P51|P09651|P51991;0.984
Q32P51|P09651|P51991;0.984
P26373;0.983
P26373;0.983
P26373;0.983
P26373;0.983
P09622;0.983
P09622;0.983
P09622;0.983
P83731;0.982
P83731;0.982
P83731;0.982
Q13136;0.982
Q9Y266;0.981
P43243;0.981
P63241|Q9GZV4|Q6IS14;0.980
P63241|Q9GZV4|Q6IS14;0.980
Q32P51|P09651|P51991;0.980
Q32P51|P09651|P51991;0.980
Q32P51|P09651|P51991;0.980
P63220;0.980
P60866;0.979
P60866;0.979
P60866;0.979
P62263;0.979
P35579;0.978
P35579;0.978
P18621;0.978
P18621;0.978
P18621;0.978
P50991;0.978
P07195;0.978
Q9P258;0.978
Q9P258;0.978
Q9P258;0.978
P09543;0.977
P09543;0.977
Q9NQS7;0.976
P07195;0.976
P07195;0.976
P49207;0.976
Q96T37;0.976
Q96T37;0.976
Q32P51|P09651|P51991;0.975
Q32P51|P09651|P51991;0.975
Q32P51|P09651|P51991;0.975
P16150;0.974
P32969;0.974
P32969;0.974
P32969;0.974
P35611|P35612|Q9UEY8;0.973
P35611|P35612|Q9UEY8;0.973
P35611|P35612|Q9UEY8;0.973
P35611|P35612|Q9UEY8;0.973
P35611|P35612|Q9UEY8;0.973
P35611|P35612|Q9UEY8;0.973
P35611|P35612|Q9UEY8;0.973
P35611|P35612|Q9UEY8;0.973
P35611|P35612|Q9UEY8;0.973
P15311;0.973
P15311;0.973
P15311;0.973
P16333;0.973
P16333;0.973
P15311;0.973
P15311;0.973
Q9BPZ7;0.973
Q9BPZ7;0.973
Q9BPZ7;0.973
Q8NG31;0.972
Q8NG31;0.972
Q13885|Q9BVA1|Q13509|P04350|P68371|P07437;0.972
Q9UHX1;0.972
Q9UK76;0.971
Q32P51|P09651;0.971
Q32P51|P09651;0.971
Q32P51|P09651;0.971
P09661;0.969
P09661;0.969
P09661;0.969
P63173;0.969
P09622;0.968
P09622;0.968
P00558;0.968
O75558;0.966
Q01105;0.966
Q9Y490;0.964
Q32P51|P09651;0.964
Q32P51|P09651;0.964
Q32P51|P09651;0.964
Q9UHX1;0.964
Q9UHX1;0.964
Q9H4A3;0.962
Q9H4A3;0.962
Q08211;0.962
Q08211;0.962
P63241|Q9GZV4|Q6IS14;0.961
P63241|Q9GZV4|Q6IS14;0.961
P17987;0.961
P38646;0.961
Q9BX40;0.960
Q99729;0.959
Q99729;0.959
Q99729;0.959
P27797;0.959
Q14865;0.959
Q14865;0.959
Q14865;0.959
Q02543;0.959
Q02543;0.959
Q02543;0.959
Q02543;0.959
Q02543;0.959
P31939;0.958
P31939;0.958
P06576;0.958
P06576;0.958
P49368;0.957
P62277;0.955
P62277;0.955
P62277;0.955
Q13885|Q9BVA1|Q13509|P04350|P68371|P07437;0.955
P20671|Q96KK5|Q99878|P0C0S8|Q6FI13|Q16777|Q9BTM1;0.955
P20671|Q96KK5|Q99878|P0C0S8|Q6FI13|Q16777|Q9BTM1;0.955
P62266;0.955
P26038;0.955
P26038;0.955
P26038;0.955
Q9BX40;0.954
Q13885|Q9BVA1|Q13509|P04350|P68371|P07437;0.954
Q86X02;0.953
Q32P51|P09651;0.953
Q32P51|P09651;0.953
Q32P51|P09651;0.953
Q9Y520;0.952
P83731;0.951
P83731;0.951
P63220;0.951
P06730;0.951
P06730;0.951
P21333|O75369;0.951
P21333|O75369;0.951
P16949;0.951
P16949;0.951
P16949;0.951
P26373;0.950
P33778|P06899|P23527|Q16778|Q8N257|Q6DN03|Q6DRA6;0.949
P33778|P06899|P23527|Q16778|Q8N257|Q6DN03|Q6DRA6;0.949
P33778|P06899|P23527|Q16778|Q8N257|Q6DN03|Q6DRA6;0.949
P09661;0.948
P09661;0.948
P09543;0.948
Q58FF8|P08238;0.948
Q58FF8|P08238;0.948
P0CW22;0.947
P0CW22;0.947
P0CW22;0.947
P06730;0.947
P06730;0.947
O95232;0.947
P14618|P30613;0.946
P14618|P30613;0.946
P14618|P30613;0.946
P30040;0.946
P30040;0.946
P21796;0.946
P18124;0.945
P18077;0.945
P18077;0.945
P62249;0.945
Q9BRG1;0.944
Q9BRG1;0.944
P20700;0.944
P20700;0.944
P20700;0.944
P36578;0.943
P36578;0.943
Q9H4A3;0.943
P26038;0.942
P26038;0.942
P26038;0.942
Q6P4F7;0.942
Q6P4F7;0.942
P53367;0.942
P53367;0.942
P53367;0.942
P53367;0.942
P06748;0.940
P06748;0.940
P50502|Q8IZP2|Q8NFI4;0.940
P62269;0.938
P62269;0.938
Q92688;0.936
P49207;0.936
P49207;0.936
P62906;0.935
P40227|Q92526;0.935
P40227|Q92526;0.935
Q9Y6A5;0.935
Q9Y6A5;0.935
Q9Y6A5;0.935
P62906;0.933
P62906;0.933
Q15366;0.932
Q15366;0.932
Q15366;0.932
Q15366;0.931
Q15366;0.931
Q15366;0.931
P62081;0.931
P62081;0.931
P62081;0.931
O00429;0.930
P27797;0.929
P00441;0.929
P00441;0.929
P61353;0.929
P61353;0.929
P61353;0.929
P21333|O75369;0.928
P05386;0.928
P05386;0.928
P05386;0.928
Q7Z401;0.927
Q7Z401;0.927
Q7Z401;0.927
P25705;0.926
O15145;0.926
P46779;0.925
P46779;0.925
P46779;0.925
Q8NHW5|P05388;0.925
P49368;0.925
P35611|P35612|Q9UEY8;0.924
P35611|P35612|Q9UEY8;0.924
P35611|P35612|Q9UEY8;0.924
P35611|P35612|Q9UEY8;0.924
P35611|P35612|Q9UEY8;0.924
P35611|P35612|Q9UEY8;0.924
P12235|P12236|P05141;0.924
P12235|P12236|P05141;0.924
P12235|P12236|P05141;0.924
P38919;0.923
P38919;0.923
P49207;0.923
Q9HD33;0.922
Q9Y6A5;0.922
Q9Y6A5;0.922
Q9Y6A5;0.922
Q01105;0.921
Q92879|O95319;0.921
P46778;0.919
P46779;0.919
P46779;0.919
Q9BRG1;0.918
Q9BRG1;0.918
Q9BRG1;0.918
P62249;0.918
P62249;0.918
P62249;0.918
Q58FF8|P08238;0.917
P09543;0.917
P46778;0.916
P46778;0.916
Q9BRG1;0.916
Q9BRG1;0.916
Q9BRG1;0.916
Q58FF7|P08238;0.916
Q58FF7|P08238;0.916
Q14103;0.916
Q14103;0.916
Q14103;0.916
P33991;0.915
P49207;0.914
P08238;0.914
P08238;0.914
P27816;0.913
P09661;0.912
P09661;0.912
Q9HDC5;0.912
Q9HDC5;0.912
P15311;0.911
P15311;0.911
P15311;0.911
P62249;0.911
P62249;0.911
P62249;0.911
P08238;0.911
P09211;0.911
P46778;0.910
P46778;0.910
P46778;0.910
P33778|P06899|P23527|Q16778|Q8N257|Q6DN03|Q6DRA6;0.910
P33778|P06899|P23527|Q16778|Q8N257|Q6DN03|Q6DRA6;0.910
P33778|P06899|P23527|Q16778|Q8N257|Q6DN03|Q6DRA6;0.910
P27448;0.909
P06748;0.909
P06748;0.909
P06748;0.909
Q00839;0.908
Q00839;0.908
P62993;0.907
P62993;0.907
P62993;0.907
P78417;0.907
P78417;0.907
P78417;0.907
Q16555;0.905
Q9H6A9;0.904
Q9H6A9;0.904
Q7L1Q6|Q9Y6E2;0.904
Q7L1Q6|Q9Y6E2;0.904
O95232;0.902
O95232;0.902
P61247;0.902
P61247;0.902
P14618;0.902
P14618;0.902
P14618;0.902
P62318;0.901
P62318;0.901
P62318;0.901
P62318;0.901
P62318;0.901
P83731;0.900
P42766;0.899
Q9P2M7;0.899
P46776;0.897
P06730;0.896
Q8WUM9;0.896
P62993;0.896
P62993;0.896
P62993;0.896
Q13838;0.895
P62701;0.893
O75558;0.892
O75558;0.892
P45880;0.890
P45880;0.890
O75558;0.890
Q8WWN9;0.890
Q8WWN9;0.890
O95294;0.890
O95983;0.889
O95983;0.889
P52565;0.888
P31939;0.887
O14979;0.886
O15145;0.886
Q14566;0.886
Q14566;0.886
Q9BRG1;0.885
Q9BRG1;0.885
Q8NEY1;0.885
P47755|P52907;0.883
P0CW22;0.883
P78417;0.882
P78417;0.882
Q99832;0.881
Q9HCM4;0.881
P50990;0.879
P50990;0.879
P50990;0.879
Q99729;0.879
Q99729;0.879
Q06323;0.879
Q06323;0.879
Q06323;0.879
Q6GYQ0;0.879
P15056;0.877
P15056;0.877
P18077;0.877
P18077;0.877
P33991;0.877
P62266;0.877
Q86V48;0.876
Q53QZ3;0.875
Q53QZ3;0.875
P33992;0.873
P33992;0.873
P42766;0.872
Q00839;0.872
Q00839;0.872
P32969;0.872
Q7L1Q6|Q9Y6E2;0.871
Q7L1Q6|Q9Y6E2;0.871
Q7L1Q6|Q9Y6E2;0.871
Q9Y520;0.871
Q9Y520;0.871
Q9Y520;0.870
Q06210;0.868
Q06210;0.868
P10599;0.868
P16150;0.866
Q13765|Q9BZK3;0.866
P09543;0.864
P09543;0.864
P62805;0.864
P62805;0.864
P16949;0.864
P16949;0.864
Q9HCM4;0.864
P35611|P35612|Q9UEY8;0.862
P35611|P35612|Q9UEY8;0.862
P35611|P35612|Q9UEY8;0.862
P35611|P35612|Q9UEY8;0.862
P35611|P35612|Q9UEY8;0.862
P35611|P35612|Q9UEY8;0.862
O14974;0.862
P50990;0.862
P50990;0.862
Q9HD33;0.861
Q9HD33;0.861
P15311;0.860
P15311;0.860
P15311;0.860
P15056;0.860
P15056;0.860
Q08211;0.859
Q99729;0.859
Q99729;0.859
Q99729;0.859
P33778|P06899|P23527|Q16778|Q8N257|Q6DN03|Q6DRA6;0.858
P33778|P06899|P23527|Q16778|Q8N257|Q6DN03|Q6DRA6;0.858
P33778|P06899|P23527|Q16778|Q8N257|Q6DN03|Q6DRA6;0.858
P33778|P06899|P23527|Q16778|Q8N257|Q6DN03|Q6DRA6;0.858
P00338;0.857
P00338;0.857
Q9HAW4;0.857
Q9HAW4;0.857
O95232;0.856
O95232;0.856
P62701|P22090|Q8TD47;0.855
P52566;0.853
P52566;0.853
P52566;0.853
Q06323;0.852
Q06323;0.852
Q9H2U2;0.851
P27797;0.851
P27797;0.851
O95232;0.851
P36578;0.850
P21796;0.850
P21796;0.850
P21796;0.850
P15880;0.850
P21796;0.850
P60866;0.849
O14974;0.845
Q9HDC5;0.844
Q9HDC5;0.844
Q9HDC5;0.844
P16401;0.844
P49321;0.843
P30040;0.842
P30040;0.842
P62888;0.842
P62888;0.842
P0CW22;0.842
P0CW22;0.842
Q99497;0.842
P68104|Q5VTE0|Q05639;0.841
P68104|Q5VTE0|Q05639;0.841
P68104|Q5VTE0|Q05639;0.841
Q32P51|P09651;0.841
Q32P51|P09651;0.841
Q9HDC5;0.841
Q9HDC5;0.841
Q9HDC5;0.841
Q9NZJ0;0.841
Q9NZJ0;0.841
P62266;0.840
P62266;0.840
P62263;0.836
Q71UI9|P0C0S5;0.835
Q71UI9|P0C0S5;0.835
Q71UI9|P0C0S5;0.835
P00558;0.834
P62851;0.833
P62851;0.833
P08238;0.833
Q16666;0.833
Q13838;0.832
Q13838;0.832
P30101;0.832
Q9HDC5;0.831
Q9HDC5;0.831
Q9HDC5;0.831
P62701|P22090;0.830
Q7L1Q6|Q9Y6E2;0.829
Q7L1Q6|Q9Y6E2;0.829
P61353;0.828
P09622;0.827
P09622;0.827
P68104|Q5VTE0|Q05639;0.826
P68104|Q5VTE0|Q05639;0.826
P68104|Q5VTE0|Q05639;0.826
P06733|P09104|P13929;0.825
Q71UI9|P0C0S5;0.824
Q71UI9|P0C0S5;0.824
Q71UI9|P0C0S5;0.824
Q9Y3U8;0.823
Q9HDC5;0.822
Q9HDC5;0.822
Q9HDC5;0.822
Q15366;0.822
Q15366;0.822
Q6P4F7;0.819
P15056;0.819
P15056;0.819
Q07020;0.818
P43243;0.817
P43243;0.817
P08238;0.815
P08238;0.815
Q9HCM4;0.815
P68104|Q5VTE0|Q05639;0.814
P68104|Q5VTE0|Q05639;0.814
P68104|Q5VTE0|Q05639;0.814
P61247;0.814
P61247;0.814
P61247;0.814
P62807|P58876|Q93079|O60814|Q99880|Q99879|Q99877|Q5QNW6|P57053;0.813
P62807|P58876|Q93079|O60814|Q99880|Q99879|Q99877|Q5QNW6|P57053;0.813
P62807|P58876|Q93079|O60814|Q99880|Q99879|Q99877|Q5QNW6|P57053;0.813
P26373;0.813
P26373;0.813
P62195;0.812
P63244;0.811
P63244;0.811
P23246;0.806
P23246;0.806
P15056;0.805
P15056;0.805
Q6P4F7;0.804
P30101;0.802
P62249;0.799
P49368;0.794
P40227;0.792
P40227;0.792
Q9H4E7;0.789
P30101;0.786
P30101;0.786
Q99832;0.785
O60293;0.778
Q8WWN9;0.774
Q8WWN9;0.774
Q96PE3;0.774
Q9BUJ2;0.773
P16150;0.773
Q9Y4L1;0.772
P00441;0.769
P00441;0.769
Q59GN2|P62891;0.768
P37108;0.767
P16150;0.767
P16150;0.767
P16150;0.767
O75558;0.767
O75558;0.767
Q6P4F7;0.765
Q9H4A3;0.763
Q9H4A3;0.763
P34931|P08107|P54652|P11142;0.757
P62701;0.757
P16150;0.756
Q8WWN9;0.756
Q8WWN9;0.756
Q96PE3;0.756
Q00839;0.755
P62917;0.754
P62917;0.754
P16150;0.751
P04075|P09972|P05062;0.749
P42766;0.744
P04075;0.743
P04075;0.743
P62829;0.743
P62829;0.743
P16150;0.739
Q9BRG1;0.737
Q86X02;0.737
P36578;0.735
P12235|P12236|P05141;0.734
P12235|P12236|P05141;0.734
P62888;0.733
P62888;0.733
P62244;0.732
P35611|P35612|Q9UEY8;0.731
P16150;0.729
P16150;0.729
P16150;0.729
P16150;0.729
P17812;0.728
P33992;0.721
P17812;0.712
P62701;0.710
Q9NQR1;0.709
Q9NQR1;0.709
Q9NQR1;0.709
Q9NQR1;0.709
Q9NSY1;0.708
Q96EP5;0.707
Q96EP5;0.707
Q96EP5;0.707
P47897;0.705
P47897;0.705
P10599;0.704
O95983;0.702
O95983;0.702
Q9NQR1;0.702
Q9NQR1;0.702
Q9NQR1;0.702
O75558;0.701
O75558;0.701
Q15717;0.699
P16401;0.699
P16401;0.699
P16401;0.699
Q07020;0.696
Q07020;0.696
P31948;0.695
P50990;0.692
P17987;0.691
P61247;0.690
P07737;0.689
P33527;0.689
Q99613;0.684
Q99613;0.684
P08238;0.684
Q9NQR1;0.683
Q9NQR1;0.683
Q9NQR1;0.683
Q9NQR1;0.683
Q9NQR1;0.683
P16150;0.681
P16150;0.681
P16150;0.681
P16150;0.681
Q9HCM4;0.678
Q9BXB4;0.677
P50395|P31150;0.677
Q6P4F7;0.675
Q9BXB4;0.672
Q9BXB4;0.670
P16150;0.670
P16150;0.670
P16150;0.670
P16150;0.669
P16150;0.669
O95294;0.665
P46778;0.664
P46778;0.664
Q6GYQ0;0.664
P16150;0.655
P16150;0.655
P16150;0.655
Q9BXB4;0.653
Q9H9B1;0.652
P62829;0.650
P27448;0.650
P00558;0.648
P00558;0.648
P62807|P58876|Q93079|O60814|Q99880|Q99879|Q99877|Q5QNW6|P57053;0.644
P62807|P58876|Q93079|O60814|Q99880|Q99879|Q99877|Q5QNW6|P57053;0.644
P60866;0.642
P60866;0.642
Q5VZ89;0.641
P36542;0.640
Q15021;0.627
Q9H6A9;0.614
Q07020;0.607
Q6DD87;0.606
P10412|P16403|P16402;0.605
Q14103;0.592
Q14103;0.592
P35611|P35612|Q9UEY8;0.588
P16150;0.584
P16150;0.584
Q9HDC5;0.583
P16150;0.576
P16150;0.576
P16150;0.576
P16150;0.575
P16150;0.575
O75558;0.561
P16401;0.556
P16401;0.556
O95402;0.555
Q13370;0.555
Q13370;0.555
P60520;0.553
P33527;0.543
P33527;0.541
Q13370;0.541
Q8WWP7;0.541
Q8WWP7;0.541
Q8WWP7;0.541
P13807;0.535
P13807;0.535
Q9H4A3;0.529
P33527;0.522
P16150;0.516
P16150;0.516
P36578;0.497
Q9NSY1;0.475
Q7Z5R6;0.455
Q9UKJ3;0.446
Q86YS7;0.380
Q9Y262;0.363
Q7Z5R6;0.304
Q03188;0.304
Q9UKJ3;0.302
Q7Z5R6;0.301
P84090;0.262
Q5XKK7;0.260
P08621;0.230
O95983;0.176
Q7Z333;0.144
P51523;0.127
P26368;0.106
Q16695|P68431|Q71DI3|P84243|Q6NXT2;0.105
Q53QZ3;0.067
Q53QZ3;0.067