Protein Group Accessions;Medium/Light
Q07352;1.991
P27448;1.990
Q9HAW4;1.983
Q96KR1;1.982
O75367;1.975
Q16875;1.973
Q8NAV1;1.972
Q7Z3T8;1.970
Q96KR1;1.967
Q96KR1;1.967
Q99832;1.962
Q99832;1.962
Q07352;1.962
Q07352;1.962
Q16875;1.957
O75962;1.955
Q9HAW4;1.932
Q9HAW4;1.932
Q6P6C2;1.928
Q14738;1.924
Q01469;1.919
Q16875;1.916
Q14738;1.914
Q14738;1.914
Q53QZ3;1.912
Q53QZ3;1.912
O75995;1.911
O75995;1.911
Q8WWN9;1.910
Q8WWN9;1.910
O14974;1.909
P47736;1.904
P47736;1.904
P47736;1.904
Q6P4F7;1.903
P09543;1.884
P09543;1.884
P48651;1.879
P48651;1.872
Q9H410;1.859
Q8NG31;1.851
Q8NG31;1.851
Q14498;1.845
Q15121;1.839
Q16875;1.838
Q9BQ48;1.836
Q9UPQ3;1.832
Q96KR1;1.830
Q96KR1;1.830
Q96KR1;1.830
Q9NQS7;1.814
Q96KR1;1.805
Q96KR1;1.805
Q16875;1.805
Q16875;1.805
Q9UQ35;1.793
Q6P4F7;1.791
P35269;1.790
P16885;1.786
Q6P4F7;1.783
Q14738;1.778
Q14738;1.778
P09543;1.773
P09543;1.773
P09543;1.773
P40925;1.772
P40925;1.772
Q9NQS7;1.770
Q9NQS7;1.770
Q8NDI1;1.768
Q8NDI1;1.768
Q9BX40;1.765
Q6P4F7;1.763
Q9BX40;1.758
P35269;1.752
P35269;1.752
A2RRP1;1.747
A2RRP1;1.747
Q9ULT8;1.744
Q13765;1.744
Q9NQS7;1.741
Q9NQS7;1.741
P47736;1.738
Q9H4E7;1.735
Q6ZU80;1.733
O75962;1.733
O75962;1.733
O75962;1.733
P62244;1.725
P62244;1.725
P47736;1.723
P47736;1.723
O75962;1.720
O75962;1.720
Q8TDZ2;1.714
Q15121;1.708
Q15121;1.708
Q15121;1.708
Q15121;1.708
Q15121;1.707
A2RRP1;1.699
P40925;1.693
P40925;1.693
O75995;1.693
O75962;1.692
O75962;1.692
O75962;1.692
P15056;1.692
P15056;1.692
Q9HAW4;1.689
Q9HAW4;1.689
P15056;1.687
P40925;1.685
P40925;1.685
Q7Z5R6;1.682
P13010;1.680
P62244;1.676
P62244;1.676
P15056;1.676
P15056;1.676
P09543;1.674
Q9BX40;1.671
O75995;1.661
O75995;1.661
O75995;1.661
O75962;1.660
O75962;1.660
Q8NDI1;1.659
Q8NDI1;1.659
Q6P4F7;1.658
Q6P4F7;1.657
Q6P4F7;1.657
P46013;1.654
P35241|P26038;1.654
P55084;1.653
P35269;1.651
Q02878;1.651
P26599;1.647
P16150;1.645
P16150;1.645
Q32P51|P09651|P51991;1.640
Q32P51|P09651|P51991;1.640
Q32P51|P09651|P51991;1.640
Q14738;1.630
Q14738;1.630
Q5JTD0;1.623
Q5JTD0;1.623
P15056;1.623
P15056;1.623
Q9Y333;1.621
Q9Y333;1.621
P18846;1.616
P18846;1.616
Q9Y2H9;1.613
Q9Y2H9;1.613
P35611|P35612|Q9UEY8;1.611
Q6GYQ0;1.610
P30050;1.608
P53671;1.600
P62195;1.598
P62195;1.598
Q14498;1.597
Q99590;1.595
Q15032;1.594
Q15032;1.594
Q86V48;1.593
Q9NQS7;1.591
P62861;1.591
Q9HDC5;1.586
P09543;1.585
P09543;1.585
P09543;1.585
O75995;1.582
O75995;1.582
Q8TBM8;1.580
P15056;1.579
P15056;1.579
P13612;1.573
P13612;1.573
Q15032;1.567
Q15032;1.567
Q15121;1.567
Q15121;1.567
Q15121;1.567
Q15121;1.567
P18846;1.564
P18846;1.564
P18846;1.563
Q15121;1.563
Q15121;1.563
Q15121;1.563
P62244;1.561
P62244;1.561
Q9HDC5;1.559
P36542;1.558
P36542;1.558
P30086;1.557
P13612;1.551
P13612;1.551
P13612;1.551
P18846;1.548
P55060;1.543
O95294;1.539
Q9NQS7;1.538
O14924;1.535
O14924;1.535
P16150;1.535
P13612;1.533
P13612;1.533
P13612;1.533
Q6JBY9;1.530
Q6JBY9;1.530
O75044;1.530
O75044;1.530
Q8NDI1;1.512
P38646;1.509
O75044;1.507
P25054;1.505
P25054;1.505
P09543;1.504
P09543;1.504
P09543;1.504
P09543;1.504
O95149;1.503
P10809;1.496
P10809;1.496
P10809;1.496
Q86X02;1.492
Q9HDC5;1.491
Q9HDC5;1.491
Q14865;1.490
Q14498;1.489
Q14498;1.489
Q14103;1.489
Q14103;1.489
P09543;1.486
P09543;1.486
P09543;1.486
P09543;1.486
P48735;1.485
P50395|P31150;1.484
P50990;1.484
Q14865;1.482
Q14865;1.482
P49773;1.482
P30101;1.476
P09543;1.475
P09543;1.475
P09543;1.475
P09543;1.475
P09543;1.475
P09543;1.475
P09543;1.475
P09543;1.475
P15882;1.472
O60237;1.467
P06733;1.466
P06733;1.466
P06733;1.466
Q9NPH3;1.465
Q9NQS7;1.464
P16150;1.461
P16150;1.461
P16150;1.461
P16150;1.461
Q53QZ3;1.455
Q53QZ3;1.455
Q53QZ3;1.455
Q53QZ3;1.455
P36578;1.454
Q6ZUT9;1.453
O75044;1.451
Q9HDC5;1.450
Q9HDC5;1.450
O75044;1.448
Q14865;1.445
Q14865;1.445
Q53QZ3;1.444
Q53QZ3;1.444
Q53QZ3;1.444
Q96A26;1.444
Q9UK76;1.443
O95149;1.439
O75044;1.437
Q00325;1.436
Q00325;1.436
Q9HDC5;1.433
P31948;1.433
P31948;1.433
O14924;1.428
P13010;1.423
P36542;1.417
P36542;1.417
P31146;1.411
Q15032;1.404
Q15032;1.404
P62753;1.399
P62753;1.399
Q15021;1.398
P52565;1.393
P52565;1.393
P52565;1.393
P06733;1.385
Q13136;1.385
P30050;1.384
P30050;1.384
Q53QZ3;1.383
Q53QZ3;1.383
Q53QZ3;1.383
Q53QZ3;1.383
Q53QZ3;1.383
Q15021;1.382
P13010;1.381
P00441;1.378
P67809|P16989|Q9Y2T7;1.378
P67809|P16989|Q9Y2T7;1.378
P67809|P16989|Q9Y2T7;1.378
Q6JBY9;1.375
Q53QZ3;1.370
Q53QZ3;1.370
Q53QZ3;1.370
Q53QZ3;1.370
P35611|P35612|Q9UEY8;1.367
P35611|P35612|Q9UEY8;1.367
P35611|P35612|Q9UEY8;1.367
P35611|P35612|Q9UEY8;1.367
P35611|P35612|Q9UEY8;1.367
P35611|P35612|Q9UEY8;1.367
P35611|P35612|Q9UEY8;1.367
P35611|P35612|Q9UEY8;1.367
P35611|P35612|Q9UEY8;1.367
P06730;1.366
P06730;1.366
P06730;1.366
O75995;1.366
O75995;1.366
O14974;1.366
Q15185;1.364
Q00839;1.362
Q6JBY9;1.353
Q6JBY9;1.353
P00441;1.353
O75995;1.349
Q9NYU2;1.349
Q9Y285;1.346
P16150;1.343
P53671;1.342
Q53QZ3;1.339
Q53QZ3;1.339
Q53QZ3;1.339
O00148;1.336
Q92598;1.335
Q53QZ3;1.331
Q53QZ3;1.331
Q53QZ3;1.331
Q53QZ3;1.331
Q5JTD0;1.331
O75044;1.327
P46778;1.323
Q7Z2W4;1.323
P62861;1.320
P62861;1.320
Q9HDC5;1.319
Q9HDC5;1.319
O14924;1.314
O14924;1.314
Q08211;1.311
P46776;1.311
P47756;1.310
P47756;1.310
O14974;1.310
O14974;1.310
Q58FF7|P08238;1.310
P52566;1.309
P52566;1.309
Q96A26;1.304
Q96A26;1.304
Q96A26;1.304
P53680;1.301
P07900;1.301
P07900;1.301
P62807|P58876|Q93079|O60814|Q99880|Q99879|Q99877|Q5QNW6|P57053;1.300
P62807|P58876|Q93079|O60814|Q99880|Q99879|Q99877|Q5QNW6|P57053;1.300
O95747;1.299
O95747;1.299
O95747;1.299
P16150;1.297
O75558;1.295
O75558;1.295
Q6FI13|Q16777|Q9BTM1;1.295
Q8WWI1;1.292
P49458;1.292
O95983;1.290
Q9UBP0;1.285
Q16666;1.284
Q53QZ3;1.281
Q53QZ3;1.281
Q9BPZ7;1.280
P35611|P35612|Q9UEY8;1.280
P35611|P35612|Q9UEY8;1.280
P35611|P35612|Q9UEY8;1.280
P35611|P35612|Q9UEY8;1.280
P35611|P35612|Q9UEY8;1.280
P35611|P35612|Q9UEY8;1.280
Q7Z3T8;1.279
Q7Z3T8;1.279
Q7Z3T8;1.279
P62273;1.273
Q99497;1.272
P62081;1.267
P62081;1.267
A0AVK6;1.267
P33778|P62807|P58876|Q93079|P06899|O60814|Q99880|Q99879|Q99877|P23527|Q16778|Q5QNW6|P57053;1.265
P33778|P62807|P58876|Q93079|P06899|O60814|Q99880|Q99879|Q99877|P23527|Q16778|Q5QNW6|P57053;1.265
P04075|P09972|P05062;1.262
P16333;1.259
P16333;1.259
Q14738;1.258
P63220;1.257
P25054;1.255
P25054;1.255
P16150;1.255
P16150;1.255
P16150;1.255
P16150;1.255
P10809;1.255
P10809;1.255
P06733|P09104|P13929;1.255
P30086;1.253
P10809;1.252
P10809;1.252
P62807|P58876|Q93079|O60814|Q99880|Q99879|Q99877|Q5QNW6|P57053;1.251
P62807|P58876|Q93079|O60814|Q99880|Q99879|Q99877|Q5QNW6|P57053;1.251
P62807|P58876|Q93079|O60814|Q99880|Q99879|Q99877|Q5QNW6|P57053;1.251
Q14738;1.250
Q14738;1.250
Q14738;1.249
Q14738;1.249
Q14738;1.249
P46778;1.245
P46778;1.245
P32969;1.244
P32969;1.244
P32969;1.244
Q53QZ3;1.242
Q9NYZ3;1.240
Q9NYZ3;1.240
Q9NYZ3;1.240
P17812;1.240
P17812;1.240
P25705;1.239
P50502|Q8IZP2|Q8NFI4;1.235
P50502|Q8IZP2|Q8NFI4;1.235
P50502|Q8IZP2|Q8NFI4;1.235
Q9ULT8;1.234
Q9ULT8;1.234
Q9ULT8;1.234
Q14738;1.234
Q14738;1.234
Q14738;1.234
P20290|Q96K17;1.233
Q96T37;1.229
Q96T37;1.229
Q96T37;1.229
Q9H4A3;1.229
O95232;1.229
O95232;1.228
Q9ULT8;1.227
Q9ULT8;1.227
Q9Y333;1.227
P10809;1.226
P10809;1.226
Q9ULT8;1.226
Q9ULT8;1.226
Q9ULT8;1.226
P52565;1.226
Q9H4A3;1.225
Q9H4A3;1.225
Q53QZ3;1.225
Q53QZ3;1.225
Q53QZ3;1.225
Q53QZ3;1.225
Q9NYF5;1.224
O75145;1.222
P04406;1.219
Q9ULT8;1.218
Q9ULT8;1.218
Q13885|Q9BVA1|Q13509|P04350|P68371|P07437;1.215
Q13885|Q9BVA1|Q13509|P04350|P68371|P07437;1.215
Q13136;1.215
Q13136;1.215
P35579;1.215
P35579;1.215
P00338;1.214
P00338;1.214
Q00839;1.213
Q9UK76;1.213
Q7Z3T8;1.212
Q7Z3T8;1.212
Q7Z3T8;1.212
Q9H2G2;1.212
Q9H2G2;1.212
Q14722|Q13303;1.212
P46781;1.212
Q96A26;1.211
Q96A26;1.211
P22392|O60361;1.211
Q7Z3T8;1.211
Q7Z3T8;1.211
Q7Z3T8;1.211
Q5SW79;1.210
Q5SW79;1.210
Q5SW79;1.210
O95747;1.210
O95747;1.210
Q9HB71;1.208
A0AVK6;1.207
Q00839;1.206
Q00839;1.206
Q00839;1.206
P35611|P35612|Q9UEY8;1.206
P35611|P35612|Q9UEY8;1.206
P35611|P35612|Q9UEY8;1.206
P35611|P35612|Q9UEY8;1.206
O14979;1.206
O14979;1.206
O14979;1.206
Q14738;1.205
Q9UBP0;1.205
Q9UBP0;1.205
Q16695|P68431|Q71DI3|P84243|Q6NXT2;1.203
Q16695|P68431|Q71DI3|P84243|Q6NXT2;1.203
Q16695|P68431|Q71DI3|P84243|Q6NXT2;1.203
Q96T37;1.202
Q96T37;1.202
P10809;1.201
P10809;1.201
Q00839;1.200
Q00839;1.200
Q00839;1.200
Q99729;1.199
Q99729;1.199
Q99729;1.199
Q9NYZ1;1.199
P35579;1.199
P35579;1.199
Q9UBP0;1.196
Q9UBP0;1.196
Q9NYZ3;1.196
Q9NYZ3;1.196
Q9NYZ3;1.196
Q86SE5;1.196
Q86SE5;1.196
Q96T37;1.195
Q96T37;1.195
O95983;1.194
O95747;1.192
O95747;1.192
O14979;1.192
Q9H4A3;1.191
Q96T37;1.191
Q96T37;1.191
Q96T37;1.191
Q53QZ3;1.190
O95232;1.189
P35611|P35612|Q9UEY8;1.189
P35611|P35612|Q9UEY8;1.189
P35611|P35612|Q9UEY8;1.189
P35611|P35612|Q9UEY8;1.189
P35611|P35612|Q9UEY8;1.189
P35611|P35612|Q9UEY8;1.189
P35611|P35612|Q9UEY8;1.189
P35611|P35612|Q9UEY8;1.189
P35611|P35612|Q9UEY8;1.189
P35611|P35612|Q9UEY8;1.189
P35611|P35612|Q9UEY8;1.189
P35611|P35612|Q9UEY8;1.189
O95232;1.187
P38159|Q96E39|O75526|Q8N7X1;1.186
P38159|Q96E39|O75526|Q8N7X1;1.186
P38159|Q96E39|O75526|Q8N7X1;1.186
P60900;1.185
P46776;1.185
Q9H4A3;1.185
Q9H4A3;1.185
P08238|Q58FF8|Q58FF7;1.185
Q58FF8|Q58FF7|P08238;1.185
Q99590;1.184
P06576;1.183
O95983;1.183
P00558|P07205;1.183
P00558|P07205;1.183
P00558|P07205;1.183
P26038;1.182
P26038;1.182
O00267;1.181
P62244;1.179
P62244;1.179
P62244;1.179
O75558;1.178
O75558;1.178
Q9BPZ7;1.178
Q9BPZ7;1.178
Q9BPZ7;1.178
Q9BPZ7;1.178
P25054;1.178
P25054;1.178
P30086;1.178
Q99729;1.177
Q99729;1.177
Q9BPZ7;1.177
Q9BPZ7;1.177
P15882;1.177
P15882;1.177
P15882;1.177
Q14738;1.176
Q86X02;1.176
P16150;1.175
P16150;1.175
P53004;1.175
P63241|Q9GZV4|Q6IS14;1.174
P63241|Q9GZV4|Q6IS14;1.174
Q9H4A3;1.174
P00338;1.172
P00338;1.172
A0AVK6;1.171
O43295;1.171
Q9BPZ7;1.171
Q9BPZ7;1.171
Q9BPZ7;1.171
P35611|P35612|Q9UEY8;1.171
P35611|P35612|Q9UEY8;1.171
P15882;1.171
P15882;1.171
P61088;1.171
O95747;1.170
P20700;1.170
P06748;1.170
P06748;1.170
P06748;1.170
P11310;1.169
Q14738;1.169
Q14738;1.169
Q9BPZ7;1.169
Q9BPZ7;1.169
Q9BPZ7;1.169
Q9BPZ7;1.169
Q9BPZ7;1.169
P35611|P35612|Q9UEY8;1.169
P35611|P35612|Q9UEY8;1.169
P35611|P35612|Q9UEY8;1.169
P05386;1.169
P05386;1.169
P22087;1.169
P22087;1.169
P22087;1.169
P46776;1.168
P09622;1.168
P09622;1.168
P15882;1.167
P15882;1.167
P84090;1.167
P84090;1.167
P84090;1.167
P84090;1.167
P84090;1.167
P60866;1.167
Q969H8;1.167
Q969H8;1.167
Q969H8;1.167
Q9HDC5;1.166
Q9HDC5;1.166
Q9HDC5;1.166
P10809;1.166
P10809;1.166
Q14738;1.166
Q14738;1.166
Q14738;1.166
Q9H2G2;1.162
Q9H2G2;1.162
P47755|P52907;1.162
P47755|P52907;1.162
P47755|P52907;1.162
P60174;1.161
P60174;1.161
Q9UNN5;1.160
Q9HDC5;1.160
Q9HDC5;1.160
Q9HDC5;1.160
P08238|Q58FF8|Q58FF7;1.160
P49773;1.159
Q9HDC5;1.157
Q9HDC5;1.157
Q9NYZ1;1.157
Q9NYZ1;1.157
O60234;1.157
P35611|P35612|Q9UEY8;1.156
P35611|P35612|Q9UEY8;1.156
P35611|P35612|Q9UEY8;1.156
P35611|P35612|Q9UEY8;1.156
P35611|P35612|Q9UEY8;1.156
P35611|P35612|Q9UEY8;1.156
P35611|P35612|Q9UEY8;1.156
Q32P51|P09651|P51991;1.155
P15882;1.155
P15882;1.155
P35611|P35612|Q9UEY8;1.154
P35611|P35612|Q9UEY8;1.154
P35611|P35612|Q9UEY8;1.154
P35611|P35612|Q9UEY8;1.154
P35611|P35612|Q9UEY8;1.154
P35611|P35612|Q9UEY8;1.154
O75962;1.153
P04406;1.153
P04406;1.153
P47755|P52907;1.153
P47755|P52907;1.153
P47755|P52907;1.153
P16150;1.153
P16150;1.153
P16150;1.153
O00231;1.152
O00231;1.152
Q5SW79;1.151
Q5SW79;1.151
Q5SW79;1.151
O95747;1.147
O95747;1.147
O95747;1.147
P16150;1.146
P16150;1.146
P16150;1.146
P10599;1.145
P27797;1.144
Q14722|Q13303;1.144
Q14722|Q13303;1.144
Q14722|Q13303;1.144
P04406;1.143
Q9Y520;1.143
P50991;1.143
O95232;1.142
O95232;1.142
P06748;1.142
P06748;1.142
P35579;1.141
P35579;1.141
P35579;1.141
Q9H6A9;1.141
P16150;1.140
P16150;1.140
P16150;1.140
P26583;1.139
P22307;1.139
P22307;1.139
P07910;1.138
P07910;1.138
Q14722|Q13303;1.138
Q14722|Q13303;1.138
Q14722|Q13303;1.138
P62269;1.138
P16150;1.137
P16333;1.136
P16333;1.136
P16333;1.136
P16333;1.136
P16333;1.136
Q99729;1.135
Q99729;1.135
Q99729;1.135
P16333;1.134
P16333;1.134
P16333;1.134
P16333;1.134
P35611|P35612|Q9UEY8;1.133
P35611|P35612|Q9UEY8;1.133
P35611|P35612|Q9UEY8;1.133
P35611|P35612|Q9UEY8;1.133
P35611|P35612|Q9UEY8;1.133
P35611|P35612|Q9UEY8;1.133
P35611|P35612|Q9UEY8;1.133
P35579;1.133
P35579;1.133
P30040;1.132
P30040;1.132
P16150;1.132
P16150;1.132
P16150;1.132
P16150;1.132
Q00839;1.132
P49207;1.131
Q9Y520;1.131
Q03188;1.130
Q14566;1.129
Q32P51|P09651;1.128
Q32P51|P09651;1.128
P14625;1.127
P14625;1.127
Q9BRA2;1.127
Q58FF8|P08238;1.126
Q58FF8|P08238;1.126
P07910;1.126
P16333;1.125
P16333;1.125
P16333;1.125
P16333;1.125
P16333;1.125
P23246;1.125
O95232;1.124
P16333;1.123
P16333;1.123
P16333;1.123
P16333;1.123
P20671|Q96KK5|Q99878|P0C0S8;1.123
P20671|Q96KK5|Q99878|P0C0S8;1.123
P09429;1.123
P09429;1.123
P09429;1.123
P06576;1.122
P06576;1.122
P06576;1.122
Q14103;1.121
Q14103;1.121
Q14103;1.121
A0AVK6;1.121
Q07666|O75525|Q5VWX1;1.120
P84090;1.120
P84090;1.120
P84090;1.120
O95232;1.119
O95232;1.119
P10809;1.119
P10809;1.119
Q9BPZ7;1.118
Q9BPZ7;1.118
Q9BPZ7;1.118
Q9BRA2;1.118
Q9BRA2;1.118
P39023;1.117
P39023;1.117
P11387;1.116
P07737;1.115
P07737;1.115
P07737;1.115
P07237;1.115
P07237;1.115
P07237;1.115
P62081;1.114
P62081;1.114
P62081;1.114
Q5SW79;1.114
Q5SW79;1.114
P62263;1.114
Q9HDC5;1.113
Q9HDC5;1.113
Q9HDC5;1.113
Q9HDC5;1.113
Q9HDC5;1.113
P16333;1.113
P16333;1.113
P62273;1.112
O00429;1.112
P09429;1.112
P09429;1.112
P09429;1.112
Q13136;1.111
P09429;1.111
Q6GYQ0;1.111
P36578;1.109
P14618;1.109
P14618;1.109
P14618;1.109
P10599;1.109
P14151;1.108
P14151;1.108
P14151;1.108
P16150;1.107
P16150;1.107
P16150;1.107
P16150;1.107
P62861;1.106
P62861;1.106
Q14865;1.106
Q14865;1.106
Q99832;1.106
P63220;1.106
P62851;1.105
P62851;1.105
P09622;1.104
P09622;1.104
P09622;1.104
P16150;1.104
P16150;1.104
P16150;1.104
P06733;1.104
P06733;1.104
P06733;1.104
Q13838;1.103
Q13838;1.103
P04406;1.103
P04406;1.103
P04406;1.103
P09622;1.103
P09622;1.103
Q13765|Q9BZK3;1.100
P47755|P52907;1.099
P47755|P52907;1.099
P47755|P52907;1.099
O95232;1.099
O95232;1.099
P61586|P62745|P08134;1.099
P61586|P62745|P08134;1.099
P61586|P62745|P08134;1.099
P61586|P62745|P08134;1.099
Q9Y4G6|Q9Y490;1.099
Q9Y4G6|Q9Y490;1.099
P04406;1.099
P04406;1.099
P31948;1.099
P31948;1.099
P31948;1.099
Q99729;1.098
Q99729;1.098
Q99729;1.098
Q99729;1.098
P40227|Q92526;1.098
P40227|Q92526;1.098
P11310;1.098
Q14103;1.098
Q14103;1.098
Q14103;1.098
Q14103;1.097
Q14103;1.097
Q14103;1.097
Q14103;1.097
Q14103;1.097
Q14103;1.097
Q96T37;1.097
Q14103;1.095
Q14103;1.095
Q14103;1.095
P20290|Q96K17;1.095
P20290|Q96K17;1.095
P06748;1.094
P06748;1.094
P06748;1.094
O95232;1.094
O95232;1.094
Q08211;1.094
P83731;1.094
P83731;1.094
P07737;1.092
P07737;1.092
P07737;1.092
O15145;1.092
Q9H4A3;1.091
P50991;1.091
P50991;1.091
P50991;1.091
Q13136;1.091
Q13136;1.091
Q13136;1.091
Q13136;1.091
P07737;1.090
P07737;1.090
P07737;1.090
O43295;1.090
P06733;1.090
P06733;1.090
P06733;1.090
Q8WUY9;1.089
Q8WUY9;1.089
P62273;1.089
P06733;1.089
P06733;1.089
P47756;1.088
P47756;1.088
P47756;1.088
P06576;1.088
P06576;1.088
Q58FF7|P08238;1.088
P09661;1.088
P09661;1.088
P39023;1.088
P45880;1.087
P45880;1.087
P36578;1.087
P55072;1.087
P55072;1.087
P55072;1.087
Q13136;1.084
Q13136;1.084
P35611|P35612|Q9UEY8;1.084
P35611|P35612|Q9UEY8;1.084
P35611|P35612|Q9UEY8;1.084
Q32P51|P09651|P51991;1.084
Q32P51|P09651|P51991;1.084
Q32P51|P09651|P51991;1.084
P07195;1.083
P07195;1.083
O00267;1.081
P39023;1.081
P39023;1.081
P31943|P55795;1.080
P31943|P55795;1.080
Q16576|Q09028;1.078
Q16576|Q09028;1.078
Q16576|Q09028;1.078
P11142;1.078
P11142;1.078
P11142;1.078
P05387;1.078
P05387;1.078
Q08211;1.077
P04406;1.076
P04406;1.076
Q9BRA2;1.076
Q9BRA2;1.076
Q9Y520;1.076
Q9Y520;1.076
P62249;1.076
P62249;1.076
P62249;1.076
P62318;1.075
P62318;1.075
P62318;1.075
P62318;1.075
P62318;1.075
Q08211;1.075
Q08211;1.075
Q08211;1.075
Q13136;1.075
Q13136;1.075
Q13136;1.075
Q13136;1.075
P30040;1.074
P30040;1.074
Q13885|Q9BVA1|Q13509|P04350|P68371|P07437;1.073
Q13885|Q9BVA1|Q13509|P04350|P68371|P07437;1.073
Q13885|Q9BVA1|Q13509|P04350|P68371|P07437;1.073
P14618;1.073
P14618;1.073
P14618;1.073
P46779;1.072
P46779;1.072
Q9HDC5;1.072
Q9HDC5;1.072
Q9HDC5;1.072
P09429;1.072
P62807|P58876|Q93079|O60814|Q99880|Q99879|Q99877|Q5QNW6|P57053;1.072
P62807|P58876|Q93079|O60814|Q99880|Q99879|Q99877|Q5QNW6|P57053;1.072
P83731;1.071
P83731;1.071
P30101;1.071
P52272;1.071
P20671|Q96KK5|Q99878|P0C0S8|Q6FI13|Q16777|Q9BTM1;1.070
P20671|Q96KK5|Q99878|P0C0S8|Q6FI13|Q16777|Q9BTM1;1.070
P20671|Q96KK5|Q99878|P0C0S8|Q6FI13|Q16777|Q9BTM1;1.070
P04406;1.070
P04406;1.070
P04406;1.070
P10809;1.070
P10809;1.070
Q9HDC5;1.069
Q9HDC5;1.069
Q9HDC5;1.069
P62081;1.069
Q9HDC5;1.068
Q9HDC5;1.068
Q9HDC5;1.068
Q06210;1.068
P83731;1.068
P83731;1.068
Q08945;1.067
Q08945;1.067
